configuration,use_pca,use_smote,use_kmeans,use_ensemble,fold,train_samples,test_samples,model,accuracy,precision,recall,f1,roc_auc
Without PCA,False,True,True,True,10,1494180,36578,Decision Tree,0.9904587456941331,0.9912448473690271,0.9904587456941331,0.9906995607222298,0.9942102919274498
Without PCA,False,True,True,True,10,1494180,36578,Random Forest,0.9927005303734485,0.9930517086838773,0.9927005303734485,0.9927992460144777,0.9981540791239208
Without PCA,False,True,True,True,10,1494180,36578,SVM,0.9586089999453223,0.9672416684835285,0.9586089999453223,0.9615260019474797,0.9896324638895542
Without PCA,False,True,True,True,10,1494180,36578,Hybrid Ensemble,0.9919077040844223,0.9924016405598157,0.9919077040844223,0.9920435281205617,0.9975267395487346
Without SMOTE,True,False,True,True,1,329209,36579,Decision Tree,0.9952158342218212,0.9952088089482506,0.9952158342218212,0.9951962315512567,0.9921223208769463
Without SMOTE,True,False,True,True,1,329209,36579,Random Forest,0.9958992864758468,0.9959660851383287,0.9958992864758468,0.9958814921059774,0.9978307311083595
Without SMOTE,True,False,True,True,1,329209,36579,SVM,0.9559856748407556,0.9488524206239034,0.9559856748407556,0.9406013835584401,0.9876191874739548
Without SMOTE,True,False,True,True,1,329209,36579,Hybrid Ensemble,0.9956532436643976,0.9957046266723089,0.9956532436643976,0.9956344316473573,0.9918396470629063
Without SMOTE,True,False,True,True,2,329209,36579,Decision Tree,0.9964187101889062,0.9964314439906311,0.9964187101889062,0.9964176454962996,0.993402592851734
Without SMOTE,True,False,True,True,2,329209,36579,Random Forest,0.9969928100822877,0.9970224815685463,0.9969928100822877,0.9969845520004937,0.9986962084955463
Without SMOTE,True,False,True,True,2,329209,36579,SVM,0.9572432269881626,0.9465213127497176,0.9572432269881626,0.9416592599197168,0.9913461486523738
Without SMOTE,True,False,True,True,2,329209,36579,Hybrid Ensemble,0.9969654719921266,0.9970054057549378,0.9969654719921266,0.9969593635119935,0.9957226109659286
Without SMOTE,True,False,True,True,3,329209,36579,Decision Tree,0.9959539626561689,0.9959713294735479,0.9959539626561689,0.9959533664185535,0.9926559567414509
Without SMOTE,True,False,True,True,3,329209,36579,Random Forest,0.9966374149101944,0.9967160777353283,0.9966374149101944,0.9966407653004399,0.9981206472182247
Without SMOTE,True,False,True,True,3,329209,36579,SVM,0.9571885508078406,0.9527789854957224,0.9571885508078406,0.9434565940881497,0.9904263147522937
Without SMOTE,True,False,True,True,3,329209,36579,Hybrid Ensemble,0.9965007244593893,0.9965665240291497,0.9965007244593893,0.9965017783638904,0.9946906946922764
Without SMOTE,True,False,True,True,4,329209,36579,Decision Tree,0.9960633150168129,0.9960338389205321,0.9960633150168129,0.9960409912030846,0.9926129293019496
Without SMOTE,True,False,True,True,4,329209,36579,Random Forest,0.9969654719921266,0.9969761262097259,0.9969654719921266,0.996936947494467,0.997675207173282
Without SMOTE,True,False,True,True,4,329209,36579,SVM,0.9570245222668744,0.949123940769041,0.9570245222668744,0.9418785835642695,0.9902997913838665
Without SMOTE,True,False,True,True,4,329209,36579,Hybrid Ensemble,0.9965554006397113,0.9965601310312797,0.9965554006397113,0.9965239716709976,0.9940199403272759
Without SMOTE,True,False,True,True,5,329209,36579,Decision Tree,0.9956259055742366,0.9956235093671895,0.9956259055742366,0.9956146971969037,0.9929608912466226
Without SMOTE,True,False,True,True,5,329209,36579,Random Forest,0.9967741053609995,0.99681486389633,0.9967741053609995,0.9967660983099349,0.9981912258555082
Without SMOTE,True,False,True,True,5,329209,36579,SVM,0.9571338746275185,0.9529569132439518,0.9571338746275185,0.942970516914634,0.9895618906623252
Without SMOTE,True,False,True,True,5,329209,36579,Hybrid Ensemble,0.996282019738101,0.9963368720396516,0.996282019738101,0.9962721494962754,0.994623489430976
Without SMOTE,True,False,True,True,6,329209,36579,Decision Tree,0.9956259055742366,0.9956054326332359,0.9956259055742366,0.9956041241959521,0.992902164588744
Without SMOTE,True,False,True,True,6,329209,36579,Random Forest,0.996282019738101,0.9963255406935762,0.996282019738101,0.9962643470301682,0.9981189235229156
Without SMOTE,True,False,True,True,6,329209,36579,SVM,0.9566417890046202,0.9491909182130072,0.9566417890046202,0.9420119708623832,0.9889778867290854
Without SMOTE,True,False,True,True,6,329209,36579,Hybrid Ensemble,0.9962273435577791,0.9962766114504792,0.9962273435577791,0.9962103344358803,0.993626212445828
Without SMOTE,True,False,True,True,7,329209,36579,Decision Tree,0.9957899341152027,0.9957780208174521,0.9957899341152027,0.9957661951792852,0.9912962926554306
Without SMOTE,True,False,True,True,7,329209,36579,Random Forest,0.9963640340085842,0.996389080547025,0.9963640340085842,0.9963394323691339,0.9984223737924531
Without SMOTE,True,False,True,True,7,329209,36579,SVM,0.9563684081030099,0.9483982273581336,0.9563684081030099,0.9414123019120486,0.9900069278067976
Without SMOTE,True,False,True,True,7,329209,36579,Hybrid Ensemble,0.996145329287296,0.9961754669954893,0.996145329287296,0.9961188714119217,0.994437486311845
Without SMOTE,True,False,True,True,8,329209,36579,Decision Tree,0.9960633150168129,0.9960437508321167,0.9960633150168129,0.9960472991964056,0.9945607491379989
Without SMOTE,True,False,True,True,8,329209,36579,Random Forest,0.9967194291806775,0.9967558420447148,0.9967194291806775,0.9967034768316287,0.9989064838832973
Without SMOTE,True,False,True,True,8,329209,36579,SVM,0.956477760463654,0.9486039777543913,0.956477760463654,0.9410126918617158,0.9898118203557109
Without SMOTE,True,False,True,True,8,329209,36579,Hybrid Ensemble,0.9966647530003554,0.9966882242900313,0.9966647530003554,0.9966446499755431,0.9950557048783616
Without SMOTE,True,False,True,True,9,329210,36578,Decision Tree,0.9959538520422112,0.995951122888248,0.9959538520422112,0.9959406442413767,0.9937477156330518
Without SMOTE,True,False,True,True,9,329210,36578,Random Forest,0.9964459511181585,0.9964777916059061,0.9964459511181585,0.9964285501969722,0.9978214218008897
Without SMOTE,True,False,True,True,9,329210,36578,SVM,0.957679479468533,0.9517402879129062,0.957679479468533,0.9437629907614768,0.9901861108145288
Without SMOTE,True,False,True,True,9,329210,36578,Hybrid Ensemble,0.9964459511181585,0.9964804102183082,0.9964459511181585,0.9964306102227795,0.9937146098101294
Without SMOTE,True,False,True,True,10,329210,36578,Decision Tree,0.9959811908797638,0.9959774502784844,0.9959811908797638,0.995972123243611,0.9936915176868077
Without SMOTE,True,False,True,True,10,329210,36578,Random Forest,0.9971020832194215,0.9971412087866872,0.9971020832194215,0.9970909202898786,0.9983706180380744
Without SMOTE,True,False,True,True,10,329210,36578,SVM,0.9554376947892176,0.9405571507745696,0.9554376947892176,0.9395987372178485,0.9915592148356615
Without SMOTE,True,False,True,True,10,329210,36578,Hybrid Ensemble,0.99677401716879,0.9968140305293777,0.99677401716879,0.9967625376274624,0.9954153059733812
Without K-Means,True,True,False,True,1,1494180,36579,Decision Tree,0.9881079307799557,0.9892632431268498,0.9881079307799557,0.9884721381084332,0.9925030419165046
Without K-Means,True,True,False,True,1,1494180,36579,Random Forest,0.9913064873287952,0.9917620350205023,0.9913064873287952,0.9914281058397385,0.9977574521765902
Without K-Means,True,True,False,True,1,1494180,36579,SVM,0.9599223598239427,0.971820993222728,0.9599223598239427,0.9638290700169638,0.9879308972149313
Without K-Means,True,True,False,True,1,1494180,36579,Hybrid Ensemble,0.9906503731649307,0.9912963572805766,0.9906503731649307,0.9908176050843674,0.99530144039965
Without K-Means,True,True,False,True,2,1494180,36579,Decision Tree,0.9869870690833539,0.9895274029519725,0.9869870690833539,0.9877595231329381,0.9957896477209709
Without K-Means,True,True,False,True,2,1494180,36579,Random Forest,0.9929467727384564,0.9933147679386872,0.9929467727384564,0.993049816119305,0.9983374403105824
Without K-Means,True,True,False,True,2,1494180,36579,SVM,0.9595943027420104,0.9727171304206643,0.9595943027420104,0.9631434483089354,0.9915862279317323
Without K-Means,True,True,False,True,2,1494180,36579,Hybrid Ensemble,0.992290658574592,0.9928028461521122,0.992290658574592,0.9924303568197629,0.9966350780669505
Without K-Means,True,True,False,True,3,1494180,36579,Decision Tree,0.9879165641488286,0.9894428506424313,0.9879165641488286,0.9883864049136035,0.9930733410663317
Without K-Means,True,True,False,True,3,1494180,36579,Random Forest,0.9918805872221766,0.9923741748822492,0.9918805872221766,0.9920194761329671,0.9978031788776955
Without K-Means,True,True,False,True,3,1494180,36579,SVM,0.9595122884715274,0.9720643402245058,0.9595122884715274,0.9630973477938972,0.9902973564581476
Without K-Means,True,True,False,True,3,1494180,36579,Hybrid Ensemble,0.9914705158697613,0.9921056625460548,0.9914705158697613,0.9916412475523911,0.9961602601240536
Without K-Means,True,True,False,True,4,1494180,36579,Decision Tree,0.98581153120643,0.9886018696296606,0.98581153120643,0.9867012926740912,0.994227658772014
Without K-Means,True,True,False,True,4,1494180,36579,Random Forest,0.9926187156565243,0.9929685462276675,0.9926187156565243,0.9927114057347691,0.9977102661990713
Without K-Means,True,True,False,True,4,1494180,36579,SVM,0.9604964597173241,0.9718928184988607,0.9604964597173241,0.9643947175985962,0.9897112808463552
Without K-Means,True,True,False,True,4,1494180,36579,Hybrid Ensemble,0.9919352634024987,0.9924528028937574,0.9919352634024987,0.9920677453098564,0.9964265861435514
Without K-Means,True,True,False,True,5,1494180,36579,Decision Tree,0.9862762787391672,0.9888083899165235,0.9862762787391672,0.9870446685261044,0.99453759639722
Without K-Means,True,True,False,True,5,1494180,36579,Random Forest,0.9919079253123377,0.992384891522774,0.9919079253123377,0.9920444835810547,0.9982003498329887
